timestamp,endpoint,http_code,total_time_ms
18:21:35.756,/api/agents/top?limit=50,200,859.7
18:21:36.430,/api/agents/top?limit=50,200,146.7
18:21:36.986,/api/agents/top?limit=50,200,30.3
18:21:37.556,/api/intent,400,41.3
18:21:38.175,/api/agents/top?limit=50,200,84.1
18:21:38.753,/api/agents/top?limit=50,200,47.9
18:21:39.435,/api/agents/top?limit=50,200,153.2
18:21:39.986,/api/intent,400,25.8
18:21:40.574,/api/agents/top?limit=50,200,58.2
18:21:41.179,/api/agents/top?limit=50,200,72.1
18:21:41.743,/api/agents/top?limit=50,200,35.3
18:21:42.328,/api/intent,400,50.8
18:21:42.902,/api/agents/top?limit=50,200,48.1
18:21:43.481,/api/agents/top?limit=50,200,55.4
18:21:44.055,/api/agents/top?limit=50,200,50.7
18:21:44.638,/api/intent,400,53.4
18:21:45.207,/api/agents/top?limit=50,200,47.8
18:21:45.788,/api/agents/top?limit=50,200,50.9
18:21:46.368,/api/agents/top?limit=50,200,52.1
18:21:46.949,/api/intent,400,50.6
18:21:47.527,/api/agents/top?limit=50,200,48.9
18:21:48.106,/api/agents/top?limit=50,200,44.4
18:21:48.668,/api/agents/top?limit=50,200,33.1
18:21:49.226,/api/intent,400,33.2
18:21:49.787,/api/agents/top?limit=50,200,35.1
18:21:50.356,/api/agents/top?limit=50,200,34.7
18:21:50.928,/api/agents/top?limit=50,200,42.8
18:21:51.513,/api/intent,400,51.6
18:21:52.095,/api/agents/top?limit=50,200,57.8
18:21:52.683,/api/agents/top?limit=50,200,51.7
18:21:53.269,/api/agents/top?limit=50,200,52.4
18:21:53.829,/api/intent,400,29.2
18:21:54.407,/api/agents/top?limit=50,200,50.5
18:21:54.968,/api/agents/top?limit=50,200,33.9
18:21:55.540,/api/agents/top?limit=50,200,49.9
18:21:56.094,/api/intent,400,31.8
18:21:56.648,/api/agents/top?limit=50,200,30.5
18:21:57.195,/api/agents/top?limit=50,200,24.3
18:21:57.773,/api/agents/top?limit=50,200,48.9
18:21:58.357,/api/intent,400,49.3
18:21:58.917,/api/agents/top?limit=50,200,33.6
18:21:59.488,/api/agents/top?limit=50,200,47.9
18:22:00.044,/api/agents/top?limit=50,200,35.4
18:22:00.588,/api/intent,429,24.7
18:22:01.138,/api/agents/top?limit=50,200,28.1
18:22:01.698,/api/agents/top?limit=50,200,32.3
18:22:02.281,/api/agents/top?limit=50,200,52.0
18:22:02.849,/api/intent,429,42.9
18:22:03.402,/api/agents/top?limit=50,200,25.6
18:22:03.951,/api/agents/top?limit=50,200,30.0
18:22:04.501,/api/agents/top?limit=50,200,25.1
18:22:05.045,/api/intent,429,25.0
18:22:05.605,/api/agents/top?limit=50,200,32.8
18:22:06.150,/api/agents/top?limit=50,200,26.0
18:22:06.733,/api/agents/top?limit=50,200,51.4
18:22:07.281,/api/intent,429,27.9
18:22:07.858,/api/agents/top?limit=50,200,47.6
18:22:08.424,/api/agents/top?limit=50,200,36.8
18:22:08.993,/api/agents/top?limit=50,200,34.5
18:22:09.545,/api/intent,429,27.2
18:22:10.126,/api/agents/top?limit=50,200,50.2
18:22:10.684,/api/agents/top?limit=50,200,29.8
18:22:11.269,/api/agents/top?limit=50,200,49.5
18:22:11.851,/api/intent,429,48.8
18:22:12.413,/api/agents/top?limit=50,200,37.1
18:22:12.993,/api/agents/top?limit=50,200,49.0
18:22:13.566,/api/agents/top?limit=50,200,42.7
18:22:14.128,/api/intent,429,36.2
18:22:14.686,/api/agents/top?limit=50,200,33.1
18:22:15.251,/api/agents/top?limit=50,200,42.5
18:22:15.815,/api/agents/top?limit=50,200,38.2
18:22:16.377,/api/intent,429,34.7
18:22:16.938,/api/agents/top?limit=50,200,35.1
18:22:17.520,/api/agents/top?limit=50,200,49.1
18:22:18.074,/api/agents/top?limit=50,200,31.2
18:22:18.641,/api/intent,429,40.0
18:22:19.224,/api/agents/top?limit=50,200,49.1
18:22:19.797,/api/agents/top?limit=50,200,46.3
18:22:20.378,/api/agents/top?limit=50,200,49.2
18:22:20.956,/api/intent,429,48.0
18:22:21.518,/api/agents/top?limit=50,200,35.5
18:22:22.083,/api/agents/top?limit=50,200,35.7
18:22:22.630,/api/agents/top?limit=50,200,23.8
18:22:23.188,/api/intent,429,33.8
18:22:23.749,/api/agents/top?limit=50,200,35.0
18:22:24.323,/api/agents/top?limit=50,200,47.1
18:22:24.885,/api/agents/top?limit=50,200,34.8
18:22:25.440,/api/intent,429,29.4
18:22:26.021,/api/agents/top?limit=50,200,48.5
18:22:26.577,/api/agents/top?limit=50,200,29.0
18:22:27.146,/api/agents/top?limit=50,200,44.0
18:22:27.703,/api/intent,429,28.4
18:22:28.289,/api/agents/top?limit=50,200,52.5
18:22:28.842,/api/agents/top?limit=50,200,23.7
18:22:29.416,/api/agents/top?limit=50,200,38.7
18:22:29.966,/api/intent,429,27.6
18:22:30.535,/api/agents/top?limit=50,200,45.2
18:22:31.104,/api/agents/top?limit=50,200,43.9
18:22:31.658,/api/agents/top?limit=50,200,28.2
18:22:32.244,/api/intent,429,49.9
18:22:32.838,/api/agents/top?limit=50,200,54.0
18:22:33.428,/api/agents/top?limit=50,200,52.2
18:22:34.015,/api/agents/top?limit=50,200,53.0
18:22:34.585,/api/intent,429,44.7
18:22:35.134,/api/agents/top?limit=50,200,24.9
18:22:35.684,/api/agents/top?limit=50,200,28.0
18:22:36.240,/api/agents/top?limit=50,200,30.0
18:22:36.830,/api/intent,429,55.5
18:22:37.377,/api/agents/top?limit=50,200,27.8
18:22:37.966,/api/agents/top?limit=50,200,52.6
18:22:38.550,/api/agents/top?limit=50,200,51.0
18:22:39.130,/api/intent,400,49.6
18:22:39.708,/api/agents/top?limit=50,200,49.5
18:22:40.271,/api/agents/top?limit=50,200,35.6
18:22:40.852,/api/agents/top?limit=50,200,52.2
18:22:41.444,/api/intent,400,53.8
18:22:42.032,/api/agents/top?limit=50,200,51.8
18:22:42.622,/api/agents/top?limit=50,200,53.1
18:22:43.168,/api/agents/top?limit=50,200,27.0
18:22:43.750,/api/intent,400,51.0
18:22:44.303,/api/agents/top?limit=50,200,26.3
18:22:44.887,/api/agents/top?limit=50,200,45.7
18:22:45.451,/api/agents/top?limit=50,200,28.1
18:22:46.036,/api/intent,400,52.9
18:22:46.619,/api/agents/top?limit=50,200,50.6
18:22:47.200,/api/agents/top?limit=50,200,49.2
18:22:47.779,/api/agents/top?limit=50,200,43.1
18:22:48.364,/api/intent,400,52.9
18:22:48.922,/api/agents/top?limit=50,200,34.2
18:22:49.505,/api/agents/top?limit=50,429,48.5
18:22:50.098,/api/agents/top?limit=50,429,54.2
18:22:50.661,/api/intent,429,36.2
18:22:51.236,/api/agents/top?limit=50,429,41.3
18:22:51.816,/api/agents/top?limit=50,429,48.7
18:22:52.393,/api/agents/top?limit=50,429,48.0
18:22:52.965,/api/intent,400,43.4
18:22:53.550,/api/agents/top?limit=50,200,49.5
18:22:54.110,/api/agents/top?limit=50,200,33.2
18:22:54.697,/api/agents/top?limit=50,200,49.4
18:22:55.289,/api/intent,400,55.5
18:22:55.877,/api/agents/top?limit=50,200,51.6
18:22:56.453,/api/agents/top?limit=50,200,48.2
18:22:57.036,/api/agents/top?limit=50,200,49.0
18:22:57.619,/api/intent,400,50.0
18:22:58.200,/api/agents/top?limit=50,200,48.9
18:22:58.785,/api/agents/top?limit=50,200,51.3
18:22:59.329,/api/agents/top?limit=50,200,23.7
18:22:59.907,/api/intent,400,50.8
18:23:00.491,/api/agents/top?limit=50,200,53.3
18:23:01.071,/api/agents/top?limit=50,200,50.5
18:23:01.657,/api/agents/top?limit=50,200,51.6
18:23:02.243,/api/intent,400,49.5
18:23:02.808,/api/agents/top?limit=50,200,35.8
18:23:03.397,/api/agents/top?limit=50,200,51.6
18:23:03.970,/api/agents/top?limit=50,200,47.6
18:23:04.549,/api/intent,429,43.6
18:23:05.123,/api/agents/top?limit=50,200,47.1
18:23:05.704,/api/agents/top?limit=50,200,46.4
18:23:06.289,/api/agents/top?limit=50,200,46.2
18:23:06.856,/api/intent,429,34.2
18:23:07.419,/api/agents/top?limit=50,200,36.4
18:23:07.968,/api/agents/top?limit=50,200,28.9
18:23:08.556,/api/agents/top?limit=50,200,49.0
18:23:09.107,/api/intent,429,24.8
18:23:09.659,/api/agents/top?limit=50,200,29.0
18:23:10.218,/api/agents/top?limit=50,200,32.8
18:23:10.798,/api/agents/top?limit=50,200,44.9
18:23:11.357,/api/intent,429,34.2
18:23:11.915,/api/agents/top?limit=50,200,34.0
18:23:12.465,/api/agents/top?limit=50,200,24.6
18:23:13.009,/api/agents/top?limit=50,200,25.3
18:23:13.596,/api/intent,429,52.0
18:23:14.171,/api/agents/top?limit=50,200,50.4
18:23:14.739,/api/agents/top?limit=50,200,45.4
18:23:15.295,/api/agents/top?limit=50,200,33.7
18:23:15.855,/api/intent,429,26.8
18:23:16.439,/api/agents/top?limit=50,200,48.9
18:23:17.019,/api/agents/top?limit=50,200,50.1
18:23:17.575,/api/agents/top?limit=50,200,30.2
18:23:18.133,/api/intent,429,28.1
18:23:18.705,/api/agents/top?limit=50,200,45.2
18:23:19.290,/api/agents/top?limit=50,200,48.9
18:23:19.874,/api/agents/top?limit=50,200,48.7
18:23:20.438,/api/intent,429,32.3
18:23:21.025,/api/agents/top?limit=50,200,52.2
18:23:21.593,/api/agents/top?limit=50,200,34.5
18:23:22.176,/api/agents/top?limit=50,200,46.1
18:23:22.754,/api/intent,429,45.5
18:23:23.337,/api/agents/top?limit=50,200,53.3
18:23:23.927,/api/agents/top?limit=50,200,50.8
18:23:24.501,/api/agents/top?limit=50,200,46.4
18:23:25.071,/api/intent,429,37.2
18:23:25.659,/api/agents/top?limit=50,200,50.4
18:23:26.246,/api/agents/top?limit=50,200,53.7
18:23:26.817,/api/agents/top?limit=50,200,50.0
18:23:27.406,/api/intent,429,54.2
18:23:27.971,/api/agents/top?limit=50,200,42.1
18:23:28.535,/api/agents/top?limit=50,200,38.6
18:23:29.119,/api/agents/top?limit=50,200,52.0
18:23:29.698,/api/intent,429,44.2
18:23:30.297,/api/agents/top?limit=50,200,63.5
18:23:30.857,/api/agents/top?limit=50,200,28.6
18:23:31.440,/api/agents/top?limit=50,200,52.7
18:23:32.024,/api/intent,429,45.9
18:23:32.609,/api/agents/top?limit=50,200,50.3
18:23:33.192,/api/agents/top?limit=50,200,53.3
18:23:33.738,/api/agents/top?limit=50,200,26.2
18:23:34.322,/api/intent,429,49.2
18:23:34.875,/api/agents/top?limit=50,200,25.9
18:23:35.463,/api/agents/top?limit=50,200,55.9
18:23:36.038,/api/agents/top?limit=50,200,52.6
18:23:36.588,/api/intent,429,25.4
18:23:37.151,/api/agents/top?limit=50,200,27.3
18:23:37.716,/api/agents/top?limit=50,200,35.0
18:23:38.272,/api/agents/top?limit=50,200,31.4
18:23:38.832,/api/intent,429,35.0
18:23:39.404,/api/agents/top?limit=50,200,50.2
18:23:39.987,/api/agents/top?limit=50,200,46.8
18:23:40.535,/api/agents/top?limit=50,200,28.0
18:23:41.102,/api/intent,400,35.8
18:23:41.673,/api/agents/top?limit=50,200,44.0
18:23:42.233,/api/agents/top?limit=50,200,30.6
18:23:42.789,/api/agents/top?limit=50,200,35.4
18:23:43.358,/api/intent,400,43.6
18:23:43.940,/api/agents/top?limit=50,200,56.2
18:23:44.488,/api/agents/top?limit=50,200,26.3
18:23:45.070,/api/agents/top?limit=50,200,52.2
18:23:45.642,/api/intent,400,47.8
18:23:46.207,/api/agents/top?limit=50,200,32.6
18:23:46.785,/api/agents/top?limit=50,200,49.1
18:23:47.334,/api/agents/top?limit=50,200,26.0
18:23:47.918,/api/intent,400,50.8
18:23:48.499,/api/agents/top?limit=50,200,52.7
18:23:49.051,/api/agents/top?limit=50,200,24.3
18:23:49.604,/api/agents/top?limit=50,200,26.0
18:23:50.184,/api/intent,429,46.7
18:23:50.769,/api/agents/top?limit=50,429,50.0
18:23:51.328,/api/agents/top?limit=50,429,26.8
18:23:51.910,/api/agents/top?limit=50,429,52.8
18:23:52.493,/api/intent,429,48.8
18:23:53.079,/api/agents/top?limit=50,200,57.0
18:23:53.662,/api/agents/top?limit=50,200,48.6
18:23:54.224,/api/agents/top?limit=50,200,29.6
18:23:54.807,/api/intent,400,49.6
18:23:55.381,/api/agents/top?limit=50,200,44.4
18:23:55.963,/api/agents/top?limit=50,200,50.8
18:23:56.553,/api/agents/top?limit=50,200,52.2
18:23:57.144,/api/intent,400,56.6
18:23:57.726,/api/agents/top?limit=50,200,51.2
18:23:58.301,/api/agents/top?limit=50,200,43.8
18:23:58.867,/api/agents/top?limit=50,200,36.5
18:23:59.442,/api/intent,400,47.9
18:24:00.021,/api/agents/top?limit=50,200,49.3
18:24:00.584,/api/agents/top?limit=50,200,35.4
18:24:01.162,/api/agents/top?limit=50,200,52.9
18:24:01.726,/api/intent,400,35.4
18:24:02.289,/api/agents/top?limit=50,200,34.5
18:24:02.877,/api/agents/top?limit=50,200,54.4
18:24:03.432,/api/agents/top?limit=50,200,25.7
18:24:04.007,/api/intent,400,45.9
18:24:04.570,/api/agents/top?limit=50,200,34.5
18:24:05.156,/api/agents/top?limit=50,200,50.4
18:24:05.727,/api/agents/top?limit=50,200,36.3
18:24:06.308,/api/intent,400,48.3
18:24:06.886,/api/agents/top?limit=50,200,44.6
18:24:07.474,/api/agents/top?limit=50,200,49.8
18:24:08.055,/api/agents/top?limit=50,200,56.1
18:24:08.602,/api/intent,429,23.2
18:24:09.195,/api/agents/top?limit=50,200,56.9
18:24:09.748,/api/agents/top?limit=50,200,25.1
18:24:10.302,/api/agents/top?limit=50,200,30.0
18:24:10.886,/api/intent,429,47.6
18:24:11.467,/api/agents/top?limit=50,200,52.4
18:24:12.054,/api/agents/top?limit=50,200,49.5
18:24:12.609,/api/agents/top?limit=50,200,28.2
18:24:13.163,/api/intent,429,33.7
18:24:13.740,/api/agents/top?limit=50,200,50.5
18:24:14.288,/api/agents/top?limit=50,200,28.0
18:24:14.874,/api/agents/top?limit=50,200,49.6
18:24:15.457,/api/intent,429,47.8
18:24:16.019,/api/agents/top?limit=50,200,32.2
18:24:16.572,/api/agents/top?limit=50,200,30.0
18:24:17.159,/api/agents/top?limit=50,200,52.8
18:24:17.737,/api/intent,429,49.7
18:24:18.310,/api/agents/top?limit=50,200,47.4
18:24:18.871,/api/agents/top?limit=50,200,32.2
18:24:19.431,/api/agents/top?limit=50,200,34.8
18:24:19.981,/api/intent,429,23.7
18:24:20.547,/api/agents/top?limit=50,200,35.0
18:24:21.102,/api/agents/top?limit=50,200,34.1
18:24:21.657,/api/agents/top?limit=50,200,34.7
18:24:22.227,/api/intent,429,47.2
18:24:22.787,/api/agents/top?limit=50,200,33.7
18:24:23.346,/api/agents/top?limit=50,200,34.5
18:24:23.921,/api/agents/top?limit=50,200,48.7
18:24:24.500,/api/intent,429,47.6
18:24:25.061,/api/agents/top?limit=50,200,34.6
18:24:25.624,/api/agents/top?limit=50,200,32.0
18:24:26.187,/api/agents/top?limit=50,200,34.4
18:24:26.769,/api/intent,429,48.0
18:24:27.355,/api/agents/top?limit=50,200,50.0
18:24:27.908,/api/agents/top?limit=50,200,27.4
18:24:28.467,/api/agents/top?limit=50,200,31.4
18:24:29.024,/api/intent,429,34.3
18:24:29.599,/api/agents/top?limit=50,200,46.0
18:24:30.181,/api/agents/top?limit=50,200,49.0
18:24:30.760,/api/agents/top?limit=50,200,48.2
18:24:31.339,/api/intent,429,50.9
18:24:31.905,/api/agents/top?limit=50,200,36.6
18:24:32.467,/api/agents/top?limit=50,200,34.4
18:24:33.046,/api/agents/top?limit=50,200,48.1
18:24:33.611,/api/intent,429,38.2
18:24:34.174,/api/agents/top?limit=50,200,34.1
18:24:34.730,/api/agents/top?limit=50,200,34.6
18:24:35.288,/api/agents/top?limit=50,200,34.3
18:24:35.855,/api/intent,429,34.2
18:24:36.418,/api/agents/top?limit=50,200,34.0
18:24:37.000,/api/agents/top?limit=50,200,48.6
18:24:37.584,/api/agents/top?limit=50,200,49.9
18:24:38.140,/api/intent,429,29.0
18:24:38.701,/api/agents/top?limit=50,200,34.1
18:24:39.289,/api/agents/top?limit=50,200,50.5
18:24:39.876,/api/agents/top?limit=50,200,51.0
18:24:40.459,/api/intent,429,51.1
18:24:41.038,/api/agents/top?limit=50,200,51.7
18:24:41.623,/api/agents/top?limit=50,200,48.6
18:24:42.203,/api/agents/top?limit=50,200,47.6
18:24:42.768,/api/intent,400,37.3
18:24:43.326,/api/agents/top?limit=50,200,26.3
18:24:43.891,/api/agents/top?limit=50,200,35.8
18:24:44.480,/api/agents/top?limit=50,200,54.2
18:24:45.067,/api/intent,400,50.3
18:24:45.643,/api/agents/top?limit=50,200,46.7
18:24:46.220,/api/agents/top?limit=50,200,46.2
18:24:46.801,/api/agents/top?limit=50,200,48.4
18:24:47.354,/api/intent,400,25.6
18:24:47.935,/api/agents/top?limit=50,200,50.6
18:24:48.514,/api/agents/top?limit=50,200,45.6
18:24:49.091,/api/agents/top?limit=50,200,51.3
18:24:49.676,/api/intent,400,49.8
18:24:50.248,/api/agents/top?limit=50,429,45.0
18:24:50.827,/api/agents/top?limit=50,429,52.3
18:24:51.418,/api/agents/top?limit=50,429,54.6
18:24:51.988,/api/intent,429,43.9
18:24:52.562,/api/agents/top?limit=50,429,48.7
18:24:53.139,/api/agents/top?limit=50,200,50.5
18:24:53.713,/api/agents/top?limit=50,200,46.7
18:24:54.285,/api/intent,400,48.7
18:24:54.860,/api/agents/top?limit=50,200,48.2
18:24:55.444,/api/agents/top?limit=50,200,50.2
18:24:56.021,/api/agents/top?limit=50,200,50.5
18:24:56.588,/api/intent,400,34.8
18:24:57.148,/api/agents/top?limit=50,200,27.5
18:24:57.732,/api/agents/top?limit=50,200,51.8
18:24:58.303,/api/agents/top?limit=50,200,44.7
18:24:58.883,/api/intent,400,53.4
18:24:59.443,/api/agents/top?limit=50,200,42.9
18:25:00.018,/api/agents/top?limit=50,200,49.1
18:25:00.601,/api/agents/top?limit=50,200,49.9
18:25:01.158,/api/intent,400,30.6
18:25:01.740,/api/agents/top?limit=50,200,53.4
18:25:02.283,/api/agents/top?limit=50,200,25.0
18:25:02.848,/api/agents/top?limit=50,200,38.5
18:25:03.411,/api/intent,400,37.6
18:25:03.968,/api/agents/top?limit=50,200,29.3
18:25:04.532,/api/agents/top?limit=50,200,36.2
18:25:05.109,/api/agents/top?limit=50,200,51.4
18:25:05.693,/api/intent,400,54.3
18:25:06.268,/api/agents/top?limit=50,200,50.0
18:25:06.826,/api/agents/top?limit=50,200,36.2
18:25:07.375,/api/agents/top?limit=50,200,27.1
18:25:07.923,/api/intent,429,27.0
18:25:08.476,/api/agents/top?limit=50,200,29.7
18:25:09.062,/api/agents/top?limit=50,200,50.7
18:25:09.617,/api/agents/top?limit=50,200,26.4
18:25:10.200,/api/intent,429,50.8
18:25:10.751,/api/agents/top?limit=50,200,25.6
18:25:11.314,/api/agents/top?limit=50,200,32.1
18:25:11.894,/api/agents/top?limit=50,200,47.4
18:25:12.459,/api/intent,429,40.9
18:25:13.039,/api/agents/top?limit=50,200,55.8
18:25:13.619,/api/agents/top?limit=50,200,52.5
18:25:14.172,/api/agents/top?limit=50,200,28.3
18:25:14.723,/api/intent,429,28.8
18:25:15.303,/api/agents/top?limit=50,200,51.4
18:25:15.886,/api/agents/top?limit=50,200,52.2
18:25:16.449,/api/agents/top?limit=50,200,36.5
18:25:17.028,/api/intent,429,46.5
18:25:17.612,/api/agents/top?limit=50,200,52.9
18:25:18.188,/api/agents/top?limit=50,200,48.5
18:25:18.745,/api/agents/top?limit=50,200,30.0
18:25:19.300,/api/intent,429,30.9
18:25:19.888,/api/agents/top?limit=50,200,49.4
18:25:20.462,/api/agents/top?limit=50,200,46.6
18:25:21.022,/api/agents/top?limit=50,200,34.5
18:25:21.571,/api/intent,429,26.4
18:25:22.122,/api/agents/top?limit=50,200,31.0
18:25:22.699,/api/agents/top?limit=50,200,48.9
18:25:23.250,/api/agents/top?limit=50,200,25.9
18:25:23.811,/api/intent,429,31.8
18:25:24.401,/api/agents/top?limit=50,200,51.5
18:25:24.955,/api/agents/top?limit=50,200,31.6
18:25:25.524,/api/agents/top?limit=50,200,45.3
18:25:26.097,/api/intent,429,42.6
18:25:26.650,/api/agents/top?limit=50,200,25.0
18:25:27.237,/api/agents/top?limit=50,200,50.5
18:25:27.823,/api/agents/top?limit=50,200,52.7
18:25:28.389,/api/intent,429,36.2
18:25:28.969,/api/agents/top?limit=50,200,47.2
18:25:29.555,/api/agents/top?limit=50,200,50.2
18:25:30.109,/api/agents/top?limit=50,200,26.4
18:25:30.696,/api/intent,429,53.9
18:25:31.287,/api/agents/top?limit=50,200,52.3
18:25:31.870,/api/agents/top?limit=50,200,55.0
18:25:32.423,/api/agents/top?limit=50,200,25.5
18:25:33.000,/api/intent,429,48.9
18:25:33.545,/api/agents/top?limit=50,200,25.8
18:25:34.094,/api/agents/top?limit=50,200,26.9
18:25:34.657,/api/agents/top?limit=50,200,31.0
18:25:35.235,/api/intent,429,49.4
18:25:35.819,/api/agents/top?limit=50,200,51.2
18:25:36.376,/api/agents/top?limit=50,200,28.7
18:25:36.933,/api/agents/top?limit=50,200,27.4
18:25:37.505,/api/intent,429,41.1
18:25:38.087,/api/agents/top?limit=50,200,53.9
18:25:38.650,/api/agents/top?limit=50,200,43.0
18:25:39.197,/api/agents/top?limit=50,200,26.5
18:25:39.744,/api/intent,429,26.1
18:25:40.317,/api/agents/top?limit=50,200,46.1
18:25:40.891,/api/agents/top?limit=50,200,42.7
18:25:41.442,/api/agents/top?limit=50,200,27.3
18:25:41.998,/api/intent,429,26.0
18:25:42.555,/api/agents/top?limit=50,200,26.1
18:25:43.130,/api/agents/top?limit=50,200,48.3
18:25:43.699,/api/agents/top?limit=50,200,42.2
18:25:44.257,/api/intent,400,34.7
18:25:44.807,/api/agents/top?limit=50,200,25.9
18:25:45.360,/api/agents/top?limit=50,200,29.2
18:25:45.920,/api/agents/top?limit=50,200,29.8
18:25:46.476,/api/intent,400,32.9
18:25:47.049,/api/agents/top?limit=50,200,48.3
18:25:47.608,/api/agents/top?limit=50,200,32.3
18:25:48.161,/api/agents/top?limit=50,200,24.3
18:25:48.709,/api/intent,400,27.8
18:25:49.260,/api/agents/top?limit=50,200,29.5
18:25:49.839,/api/agents/top?limit=50,429,53.5
18:25:50.409,/api/agents/top?limit=50,429,41.3
18:25:50.968,/api/intent,429,25.0
18:25:51.547,/api/agents/top?limit=50,429,47.8
18:25:52.099,/api/agents/top?limit=50,429,25.6
18:25:52.667,/api/agents/top?limit=50,429,42.3
18:25:53.248,/api/intent,400,51.9
18:25:53.810,/api/agents/top?limit=50,200,30.9
18:25:54.356,/api/agents/top?limit=50,200,27.1
18:25:54.921,/api/agents/top?limit=50,200,37.0
18:25:55.491,/api/intent,400,42.2
18:25:56.034,/api/agents/top?limit=50,200,24.7
18:25:56.619,/api/agents/top?limit=50,200,56.1
18:25:57.195,/api/agents/top?limit=50,200,47.0
18:25:57.748,/api/intent,400,32.1
18:25:58.327,/api/agents/top?limit=50,200,49.2
18:25:58.875,/api/agents/top?limit=50,200,25.4
18:25:59.460,/api/agents/top?limit=50,200,54.8
18:26:00.018,/api/intent,400,25.7
18:26:00.571,/api/agents/top?limit=50,200,27.6
18:26:01.161,/api/agents/top?limit=50,200,51.0
18:26:01.746,/api/agents/top?limit=50,200,50.5
18:26:02.298,/api/intent,400,25.1
18:26:02.882,/api/agents/top?limit=50,200,56.6
18:26:03.462,/api/agents/top?limit=50,200,50.9
18:26:04.046,/api/agents/top?limit=50,200,48.4
18:26:04.620,/api/intent,400,50.0
18:26:05.170,/api/agents/top?limit=50,200,25.8
18:26:05.718,/api/agents/top?limit=50,200,27.3
18:26:06.313,/api/agents/top?limit=50,200,58.8
18:26:06.901,/api/intent,400,55.3
18:26:07.459,/api/agents/top?limit=50,200,25.9
18:26:08.023,/api/agents/top?limit=50,200,33.8
18:26:08.570,/api/agents/top?limit=50,200,24.7
18:26:09.153,/api/intent,429,50.8
18:26:09.707,/api/agents/top?limit=50,200,31.4
18:26:10.262,/api/agents/top?limit=50,200,27.2
18:26:10.827,/api/agents/top?limit=50,200,40.6
18:26:11.371,/api/intent,429,24.3
18:26:11.916,/api/agents/top?limit=50,200,26.7
18:26:12.493,/api/agents/top?limit=50,200,49.5
18:26:13.049,/api/agents/top?limit=50,200,33.3
18:26:13.640,/api/intent,429,51.4
18:26:14.219,/api/agents/top?limit=50,200,51.6
18:26:14.795,/api/agents/top?limit=50,200,50.7
18:26:15.343,/api/agents/top?limit=50,200,28.1
18:26:15.887,/api/intent,429,25.0
18:26:16.444,/api/agents/top?limit=50,200,36.7
18:26:17.019,/api/agents/top?limit=50,200,50.4
18:26:17.599,/api/agents/top?limit=50,200,52.4
18:26:18.163,/api/intent,429,41.2
18:26:18.716,/api/agents/top?limit=50,200,25.5
18:26:19.296,/api/agents/top?limit=50,200,51.9
18:26:19.855,/api/agents/top?limit=50,200,29.3
18:26:20.418,/api/intent,429,36.9
